transition_num,sunset_or_sunrise,frame,full_timestamp,zhrs,exsecs
1,sunset,738213,2021-09-07T22:59:59.967653Z,13.9999910147323,29528.967653
2,sunrise,1638207,2021-09-08T08:59:59.981952Z,23.9999949866533,65528.981952
3,sunset,2898195,2021-09-08T22:59:59.976090Z,37.9999933583207,115928.97609
4,sunrise,3798189,2021-09-09T08:59:59.986214Z,47.999996170534,151928.986214
5,sunset,5058180,2021-09-09T22:59:59.978666Z,61.9999940739075,202328.978666
6,sunrise,5958173,2021-09-10T08:59:59.987733Z,71.9999965924687,238328.987733
