transition_num,sunset_or_sunrise,frame,full_timestamp,zhrs,exsecs
1,sunset,738216,2021-09-07T22:59:59.964112Z,13.9999900311232,29528.964112
2,sunrise,1638209,2021-09-08T08:59:59.984650Z,23.9999957360824,65528.98465
3,sunset,2898195,2021-09-08T22:59:59.960045Z,37.9999889014165,115928.960045
4,sunrise,3798188,2021-09-09T08:59:59.976017Z,47.9999933380551,151928.976017
5,sunset,5058178,2021-09-09T22:59:59.994071Z,61.9999983530574,202328.994071
6,sunrise,5958166,2021-09-10T08:59:59.969033Z,71.9999913980564,238328.969033
