Genotype1	Genotype1
psen2	scr
1	2
3	4
5	6
7	8
9	10
11	12
13	14
15	16
17	18
19	20
23	22
25	24
27	26
29	28
31	30
33	32
35	34
37	36
39	38
41	40
43	42
45	44
47	46
49	48
51	50
53	52
57	54
59	56
61	58
63	60
65	62
67	64
69	66
71	68
73	70
75	72
77	74
79	76
81	78
83	80
85	82
87	84
89	86
91	88
93	90
95	92
	94
